datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
20241216,ACB,21125.46,1.0,21125.46,21209.46,21041.46,6144323
20241217,ACB,21167.46,1.0,21209.46,21209.46,21041.46,3963434
20241218,ACB,21125.46,1.0,21209.46,21209.46,21083.46,4025698
20241219,ACB,20831.47,1.0,21041.46,21041.46,20747.47,11562200
20241220,ACB,20831.47,1.0,20873.47,20915.47,20789.47,5623953
20241223,ACB,20915.47,1.0,20873.47,20957.46,20831.47,4125343
20241224,ACB,20999.46,1.0,20915.47,20999.46,20831.47,3846169
20241225,ACB,21377.45,1.0,20999.46,21503.45,20957.46,11324456
20241226,ACB,21461.45,1.0,21377.45,21461.45,21335.45,6642193
20241227,ACB,21461.45,1.0,21503.45,21587.45,21419.45,9154876
20241230,ACB,21335.45,1.0,21293.46,21545.45,21293.46,5953009
20241231,ACB,21671.45,1.0,21335.45,21671.45,21293.46,10525268
20250102,ACB,21503.45,1.0,21503.45,21587.45,21335.45,5438115
20250103,ACB,21083.46,1.0,21419.45,21461.45,21083.46,5973128
20250106,ACB,20831.47,1.0,20999.46,21041.46,20789.47,14348819
20250107,ACB,20999.46,1.0,20831.47,21041.46,20831.47,5978843
20250108,ACB,20999.46,1.0,20999.46,20999.46,20831.47,4866910
20250109,ACB,20957.46,1.0,20957.46,20999.46,20873.47,4570592
20250110,ACB,20747.47,1.0,20915.47,20957.46,20747.47,5608357
20250113,ACB,20789.47,1.0,20579.47,20873.47,20579.47,5506688
20250114,ACB,20705.47,1.0,20789.47,20831.47,20579.47,6023844
20250115,ACB,20915.47,1.0,20873.47,20957.46,20705.47,8839630
20250116,ACB,20873.47,1.0,20873.47,21041.46,20747.47,5959080
20250117,ACB,20957.46,1.0,20873.47,20999.46,20831.47,2832096
20250120,ACB,20999.46,1.0,20957.46,21041.46,20831.47,4767264
20250121,ACB,20957.46,1.0,21041.46,21083.46,20873.47,5169894
20250122,ACB,20873.47,1.0,20999.46,20999.46,20831.47,3319013
20250123,ACB,21251.46,1.0,20915.47,21335.45,20915.47,10591699
20250124,ACB,21293.46,1.0,21167.46,21419.45,21167.46,5831815
20250203,ACB,21083.46,1.0,21041.46,21251.46,20915.47,5676216
20250204,ACB,21209.46,1.0,21209.46,21293.46,21041.46,5837768
20250205,ACB,21335.45,1.0,21209.46,21335.45,21167.46,8919394
20250206,ACB,21419.45,1.0,21419.45,21545.45,21335.45,6659455
20250207,ACB,21587.45,1.0,21419.45,21671.45,21335.45,11756967
20250210,ACB,21671.45,1.0,21545.45,21965.44,21419.45,16705665
20250211,ACB,21713.45,1.0,21713.45,21797.44,21587.45,6453141
20250212,ACB,21545.45,1.0,21755.44,21839.44,21545.45,8082349
20250213,ACB,21587.45,1.0,21545.45,21629.45,21461.45,6845293
20250214,ACB,21629.45,1.0,21797.44,21797.44,21587.45,9689771
20250217,ACB,21671.45,1.0,21797.44,21797.44,21629.45,6827317
20250218,ACB,21629.45,1.0,21671.45,21839.44,21629.45,6139918
20250219,ACB,21671.45,1.0,21629.45,21755.44,21587.45,5986224
20250220,ACB,21797.44,1.0,21713.45,21797.44,21629.45,6797078
20250221,ACB,22007.44,1.0,21839.44,22133.43,21797.44,15142410
20250224,ACB,21965.44,1.0,21881.44,22049.44,21881.44,7615551
20250225,ACB,21839.44,1.0,21965.44,22049.44,21839.44,7709601
20250226,ACB,21797.44,1.0,21881.44,21923.44,21797.44,6019558
20250227,ACB,21923.44,1.0,21839.44,21923.44,21713.45,6734457
20250228,ACB,21839.44,1.0,21839.44,22007.44,21671.45,6511952
20250303,ACB,21839.44,1.0,21839.44,21881.44,21671.45,6664336
20250304,ACB,21965.44,1.0,21755.44,22007.44,21671.45,11854231
20250305,ACB,21965.44,1.0,22091.44,22385.43,21965.44,13894045
20250306,ACB,22175.43,1.0,22049.44,22175.43,21965.44,6037059
20250307,ACB,22385.43,1.0,22259.43,22511.42,22133.43,12744968
20250310,ACB,22217.43,1.0,22427.43,22469.43,22175.43,10113115
20250311,ACB,22217.43,1.0,22091.44,22217.43,21923.44,10883611
20250312,ACB,22091.44,1.0,22259.43,22427.43,22007.44,9281427
20250313,ACB,21923.44,1.0,22133.43,22217.43,21923.44,10578246
20250314,ACB,21839.44,1.0,22007.44,22007.44,21755.44,13748684
20250317,ACB,22007.44,1.0,21923.44,22049.44,21839.44,6743505
20250318,ACB,22091.44,1.0,22091.44,22301.43,22049.44,7153158
20250319,ACB,22007.44,1.0,22091.44,22091.44,21881.44,9421193
